analysis,chr,gwaa_hit_bp,gene_start_bp,gene_end_bp,gene_id,gene_name,gene_biotype
"GxE meta-analysis, day length",15,64934263,64746521,64932891,ENSBTAG00000005923,ABTB2,protein_coding
"GxE meta-analysis, day length",15,64940406,64746521,64932891,ENSBTAG00000005923,ABTB2,protein_coding
"GxE meta-analysis, day length",15,64926564,64975271,65011223,ENSBTAG00000020980,CAT,protein_coding
"GxE meta-analysis, day length",15,64934263,64975271,65011223,ENSBTAG00000020980,CAT,protein_coding
"GxE meta-analysis, day length",15,64940406,64975271,65011223,ENSBTAG00000020980,CAT,protein_coding
"GxE meta-analysis, day length",15,65003663,64975271,65011223,ENSBTAG00000020980,CAT,protein_coding
"GxE meta-analysis, day length",15,65035536,64975271,65011223,ENSBTAG00000020980,CAT,protein_coding
"GxE meta-analysis, day length",15,65036033,64975271,65011223,ENSBTAG00000020980,CAT,protein_coding
"GxE meta-analysis, day length",15,65003663,65019976,65067265,ENSBTAG00000012460,ELF5,protein_coding
"GxE meta-analysis, day length",15,65035536,65019976,65067265,ENSBTAG00000012460,ELF5,protein_coding
"GxE meta-analysis, day length",15,65036033,65019976,65067265,ENSBTAG00000012460,ELF5,protein_coding
"GxE meta-analysis, day length",15,65192176,65186293,65227768,ENSBTAG00000017150,EHF,protein_coding
"GxE meta-analysis, day length",15,65718630,65649433,65737462,ENSBTAG00000011578,CD44,protein_coding
"GxE meta-analysis, day length",15,66159766,66124888,66126201,ENSBTAG00000047083,FJX1,protein_coding
"GxE meta-analysis, day length",15,66159766,66181718,66291995,ENSBTAG00000037389,TRIM44,protein_coding
"GxE meta-analysis, day length",15,66569215,66504294,66702598,ENSBTAG00000044158,LDLRAD3,protein_coding
"GxE meta-analysis, day length",15,74695991,74642574,74699576,ENSBTAG00000031252,CD82,protein_coding
"GxE meta-analysis, day length",15,74695991,74646036,74646158,ENSBTAG00000043122,,snoRNA
"Main effect, DEBVs",15,77405421,77288832,77368002,ENSBTAG00000002520,CELF1,protein_coding
"Main effect, DEBVs",15,77405421,77368219,77373977,ENSBTAG00000018479,PTPMT1,protein_coding
"Main effect, DEBVs",15,77405421,77374325,77379012,ENSBTAG00000018482,KBTBD4,protein_coding
"Main effect, DEBVs",15,77405421,77379153,77383888,ENSBTAG00000018483,NDUFS3,protein_coding
"Main effect, DEBVs",15,77405421,77384965,77387225,ENSBTAG00000055123,FAM180B,protein_coding
"Main effect, DEBVs",15,77405421,77387845,77388822,ENSBTAG00000053126,,pseudogene
COJO of main effect meta-analysis,15,77457892,77409614,77429460,ENSBTAG00000018742,MTCH2,protein_coding
"Main effect, DEBVs",15,77405421,77409614,77429460,ENSBTAG00000018742,MTCH2,protein_coding
"Main effect, meta-analysis",15,77455133,77409614,77429460,ENSBTAG00000018742,MTCH2,protein_coding
"Main effect, meta-analysis",15,77457892,77409614,77429460,ENSBTAG00000018742,MTCH2,protein_coding
"Main effect, meta-analysis",15,77462455,77409614,77429460,ENSBTAG00000018742,MTCH2,protein_coding
COJO of main effect meta-analysis,15,77457892,77451766,77481415,ENSBTAG00000051215,AGBL2,protein_coding
"Main effect, DEBVs",15,77405421,77451766,77481415,ENSBTAG00000051215,AGBL2,protein_coding
"Main effect, meta-analysis",15,77455133,77451766,77481415,ENSBTAG00000051215,AGBL2,protein_coding
"Main effect, meta-analysis",15,77457892,77451766,77481415,ENSBTAG00000051215,AGBL2,protein_coding
"Main effect, meta-analysis",15,77462455,77451766,77481415,ENSBTAG00000051215,AGBL2,protein_coding
COJO of main effect meta-analysis,15,77457892,77492393,77513241,ENSBTAG00000020911,FNBP4,protein_coding
"Main effect, meta-analysis",15,77455133,77492393,77513241,ENSBTAG00000020911,FNBP4,protein_coding
"Main effect, meta-analysis",15,77457892,77492393,77513241,ENSBTAG00000020911,FNBP4,protein_coding
"Main effect, meta-analysis",15,77462455,77492393,77513241,ENSBTAG00000020911,FNBP4,protein_coding
"GxE meta-analysis, day length",16,2214727,2164207,2241919,ENSBTAG00000024633,PIK3C2B,protein_coding
"GxE meta-analysis, day length",16,2214727,2233425,2233554,ENSBTAG00000042752,,snoRNA
"GxE meta-analysis, day length",16,2214727,2255641,2292885,ENSBTAG00000006255,MDM4,protein_coding
"GxE meta-analysis, day length",16,3020568,2935604,2985029,ENSBTAG00000016618,DSTYK,protein_coding
"GxE meta-analysis, day length",16,3020568,3006671,3044514,ENSBTAG00000002361,TMCC2,protein_coding
"GxE meta-analysis, day length",16,3020568,3064040,3083423,ENSBTAG00000018774,,protein_coding
"GxE meta-analysis, day length",16,4225403,4001470,4254165,ENSBTAG00000001483,SRGAP2,protein_coding
"GxE meta-analysis, day length",16,4225403,4259232,4284591,ENSBTAG00000010408,IKBKE,protein_coding
COJO of main effect meta-analysis,16,36119777,36150525,36154203,ENSBTAG00000009943,,protein_coding
"Main effect, meta-analysis",16,36119777,36150525,36154203,ENSBTAG00000009943,,protein_coding
COJO of main effect meta-analysis,16,36119777,36163970,36167373,ENSBTAG00000009938,XCL1,protein_coding
"Main effect, meta-analysis",16,36119777,36163970,36167373,ENSBTAG00000009938,XCL1,protein_coding
"GxE meta-analysis, day length",16,38500965,38526584,38602120,ENSBTAG00000006408,MROH9,protein_coding
"GxE meta-analysis, day length",16,52306052,52283707,52343027,ENSBTAG00000005300,TMEM51,protein_coding
"GxE meta-analysis, day length",16,61589900,61489308,61684117,ENSBTAG00000046502,ACBD6,protein_coding
"GxE meta-analysis, day length",16,64316338,64223528,64289609,ENSBTAG00000000793,LAMC2,protein_coding
"GxE meta-analysis, day length",16,64316338,64294454,64294687,ENSBTAG00000049987,,protein_coding
"GxE meta-analysis, day length",16,64316338,64296837,64514197,ENSBTAG00000000795,NMNAT2,protein_coding
"GxE meta-analysis, day length",16,70464240,70348824,70552926,ENSBTAG00000001181,RPS6KC1,protein_coding
"GxE meta-analysis, day length",16,70682468,70601757,70639797,ENSBTAG00000003701,VASH2,protein_coding
"GxE meta-analysis, day length",16,70682468,70675517,70703889,ENSBTAG00000015974,FLVCR1,protein_coding
"GxE meta-analysis, day length",16,70682468,70729199,70741623,ENSBTAG00000010016,SPATA45,protein_coding
"GxE meta-analysis, day length",16,71698856,71591831,71713585,ENSBTAG00000005137,LPGAT1,protein_coding
"GxE meta-analysis, day length",17,12206834,12162216,12177198,ENSBTAG00000014060,LSM6,protein_coding
"GxE meta-analysis, day length",17,17030120,17014136,17141026,ENSBTAG00000018951,TBC1D9,protein_coding
"GxE meta-analysis, day length",17,17031579,17014136,17141026,ENSBTAG00000018951,TBC1D9,protein_coding
"GxE meta-analysis, day length",17,17034008,17014136,17141026,ENSBTAG00000018951,TBC1D9,protein_coding
"GxE meta-analysis, day length",17,32680539,32530928,32631788,ENSBTAG00000055005,,lncRNA
"GxE meta-analysis, day length",17,51428805,51223745,51460894,ENSBTAG00000024603,NCOR2,protein_coding
"GxE meta-analysis, day length",17,51428805,51454130,51454444,ENSBTAG00000043935,7SK,misc_RNA
"GxE meta-analysis, day length",17,51428805,51466603,51469982,ENSBTAG00000039688,RFLNA,protein_coding
"GxE meta-analysis, day length",17,53036454,52998851,53115871,ENSBTAG00000016779,CLIP1,protein_coding
"GxE meta-analysis, day length",17,53036454,53004552,53004659,ENSBTAG00000037243,5S_rRNA,rRNA
COJO of main effect meta-analysis,17,68938350,68887320,68889515,ENSBTAG00000000913,UQCR10,protein_coding
COJO of main effect meta-analysis,17,68938350,68906700,68942712,ENSBTAG00000002452,ASCC2,protein_coding
COJO of main effect meta-analysis,17,68938350,68948365,68948465,ENSBTAG00000043525,U6,snRNA
COJO of main effect meta-analysis,17,68938350,68971211,69102722,ENSBTAG00000001030,MTMR3,protein_coding
COJO of main effect meta-analysis,17,69096404,68971211,69102722,ENSBTAG00000001030,MTMR3,protein_coding
COJO of main effect meta-analysis,17,69149498,68971211,69102722,ENSBTAG00000001030,MTMR3,protein_coding
"Main effect, DEBVs",17,69096404,68971211,69102722,ENSBTAG00000001030,MTMR3,protein_coding
"Main effect, meta-analysis",17,69096404,68971211,69102722,ENSBTAG00000001030,MTMR3,protein_coding
COJO of main effect meta-analysis,17,69096404,69111637,69132379,ENSBTAG00000050802,,lncRNA
COJO of main effect meta-analysis,17,69149498,69111637,69132379,ENSBTAG00000050802,,lncRNA
COJO of main effect meta-analysis,17,69155480,69111637,69132379,ENSBTAG00000050802,,lncRNA
COJO of main effect meta-analysis,17,69157843,69111637,69132379,ENSBTAG00000050802,,lncRNA
"Main effect, DEBVs",17,69096404,69111637,69132379,ENSBTAG00000050802,,lncRNA
"Main effect, meta-analysis",17,69096404,69111637,69132379,ENSBTAG00000050802,,lncRNA
COJO of main effect meta-analysis,17,69096404,69132614,69203058,ENSBTAG00000013877,HORMAD2,protein_coding
COJO of main effect meta-analysis,17,69149498,69132614,69203058,ENSBTAG00000013877,HORMAD2,protein_coding
COJO of main effect meta-analysis,17,69155480,69132614,69203058,ENSBTAG00000013877,HORMAD2,protein_coding
COJO of main effect meta-analysis,17,69157843,69132614,69203058,ENSBTAG00000013877,HORMAD2,protein_coding
"Main effect, DEBVs",17,69096404,69132614,69203058,ENSBTAG00000013877,HORMAD2,protein_coding
"Main effect, meta-analysis",17,69096404,69132614,69203058,ENSBTAG00000013877,HORMAD2,protein_coding
"GxE meta-analysis, day length",18,4617771,4522898,4666475,ENSBTAG00000001010,ADAMTS18,protein_coding
"GxE meta-analysis, day length",18,5377566,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5417096,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5419751,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5420736,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5421206,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5422457,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5422930,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5423829,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5424381,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5424978,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5425452,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5425976,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5427144,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5428508,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5452787,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5473877,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5500811,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5836501,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5896609,5240349,6170333,ENSBTAG00000015894,WWOX,protein_coding
"GxE meta-analysis, day length",18,5452787,5493574,5501805,ENSBTAG00000050959,,protein_coding
"GxE meta-analysis, day length",18,5473877,5493574,5501805,ENSBTAG00000050959,,protein_coding
"GxE meta-analysis, day length",18,5500811,5493574,5501805,ENSBTAG00000050959,,protein_coding
"Main effect, DEBVs",18,10062755,9350020,10154230,ENSBTAG00000034373,CDH13,protein_coding
"Main effect, DEBVs",18,10341924,10285040,10339375,ENSBTAG00000012508,OSGIN1,protein_coding
"Main effect, DEBVs",18,10373239,10285040,10339375,ENSBTAG00000012508,OSGIN1,protein_coding
"Main effect, DEBVs",18,10384482,10285040,10339375,ENSBTAG00000012508,OSGIN1,protein_coding
"Main effect, meta-analysis",18,10341924,10285040,10339375,ENSBTAG00000012508,OSGIN1,protein_coding
"Main effect, meta-analysis",18,10373239,10285040,10339375,ENSBTAG00000012508,OSGIN1,protein_coding
"Main effect, meta-analysis",18,10384482,10285040,10339375,ENSBTAG00000012508,OSGIN1,protein_coding
"Main effect, DEBVs",18,10341924,10344784,10382141,ENSBTAG00000040086,SLC38A8,protein_coding
"Main effect, DEBVs",18,10373239,10344784,10382141,ENSBTAG00000040086,SLC38A8,protein_coding
"Main effect, DEBVs",18,10384482,10344784,10382141,ENSBTAG00000040086,SLC38A8,protein_coding
"Main effect, DEBVs",18,10402654,10344784,10382141,ENSBTAG00000040086,SLC38A8,protein_coding
"Main effect, DEBVs",18,10419868,10344784,10382141,ENSBTAG00000040086,SLC38A8,protein_coding
"Main effect, meta-analysis",18,10341924,10344784,10382141,ENSBTAG00000040086,SLC38A8,protein_coding
"Main effect, meta-analysis",18,10373239,10344784,10382141,ENSBTAG00000040086,SLC38A8,protein_coding
"Main effect, meta-analysis",18,10384482,10344784,10382141,ENSBTAG00000040086,SLC38A8,protein_coding
"Main effect, meta-analysis",18,10402654,10344784,10382141,ENSBTAG00000040086,SLC38A8,protein_coding
"Main effect, meta-analysis",18,10419868,10344784,10382141,ENSBTAG00000040086,SLC38A8,protein_coding
"Main effect, DEBVs",18,10341924,10389617,10434506,ENSBTAG00000010170,MBTPS1,protein_coding
"Main effect, DEBVs",18,10373239,10389617,10434506,ENSBTAG00000010170,MBTPS1,protein_coding
"Main effect, DEBVs",18,10384482,10389617,10434506,ENSBTAG00000010170,MBTPS1,protein_coding
"Main effect, DEBVs",18,10402654,10389617,10434506,ENSBTAG00000010170,MBTPS1,protein_coding
"Main effect, DEBVs",18,10419868,10389617,10434506,ENSBTAG00000010170,MBTPS1,protein_coding
"Main effect, meta-analysis",18,10341924,10389617,10434506,ENSBTAG00000010170,MBTPS1,protein_coding
"Main effect, meta-analysis",18,10373239,10389617,10434506,ENSBTAG00000010170,MBTPS1,protein_coding
"Main effect, meta-analysis",18,10384482,10389617,10434506,ENSBTAG00000010170,MBTPS1,protein_coding
"Main effect, meta-analysis",18,10402654,10389617,10434506,ENSBTAG00000010170,MBTPS1,protein_coding
"Main effect, meta-analysis",18,10419868,10389617,10434506,ENSBTAG00000010170,MBTPS1,protein_coding
"Main effect, DEBVs",18,10373239,10405697,10405815,ENSBTAG00000037239,5S_rRNA,rRNA
"Main effect, DEBVs",18,10384482,10405697,10405815,ENSBTAG00000037239,5S_rRNA,rRNA
"Main effect, DEBVs",18,10402654,10405697,10405815,ENSBTAG00000037239,5S_rRNA,rRNA
"Main effect, DEBVs",18,10419868,10405697,10405815,ENSBTAG00000037239,5S_rRNA,rRNA
"Main effect, meta-analysis",18,10373239,10405697,10405815,ENSBTAG00000037239,5S_rRNA,rRNA
"Main effect, meta-analysis",18,10384482,10405697,10405815,ENSBTAG00000037239,5S_rRNA,rRNA
"Main effect, meta-analysis",18,10402654,10405697,10405815,ENSBTAG00000037239,5S_rRNA,rRNA
"Main effect, meta-analysis",18,10419868,10405697,10405815,ENSBTAG00000037239,5S_rRNA,rRNA
"Main effect, DEBVs",18,10402654,10436689,10448454,ENSBTAG00000018770,HSDL1,protein_coding
"Main effect, DEBVs",18,10419868,10436689,10448454,ENSBTAG00000018770,HSDL1,protein_coding
"Main effect, meta-analysis",18,10402654,10436689,10448454,ENSBTAG00000018770,HSDL1,protein_coding
"Main effect, meta-analysis",18,10419868,10436689,10448454,ENSBTAG00000018770,HSDL1,protein_coding
"Main effect, DEBVs",18,10402654,10448568,10469494,ENSBTAG00000018771,DNAAF1,protein_coding
"Main effect, DEBVs",18,10419868,10448568,10469494,ENSBTAG00000018771,DNAAF1,protein_coding
"Main effect, meta-analysis",18,10402654,10448568,10469494,ENSBTAG00000018771,DNAAF1,protein_coding
"Main effect, meta-analysis",18,10419868,10448568,10469494,ENSBTAG00000018771,DNAAF1,protein_coding
COJO of main effect meta-analysis,18,10521343,10469759,10479608,ENSBTAG00000018772,TAF1C,protein_coding
"Main effect, DEBVs",18,10419868,10469759,10479608,ENSBTAG00000018772,TAF1C,protein_coding
"Main effect, DEBVs",18,10521343,10469759,10479608,ENSBTAG00000018772,TAF1C,protein_coding
"Main effect, DEBVs",18,10527395,10469759,10479608,ENSBTAG00000018772,TAF1C,protein_coding
"Main effect, meta-analysis",18,10419868,10469759,10479608,ENSBTAG00000018772,TAF1C,protein_coding
"Main effect, meta-analysis",18,10521343,10469759,10479608,ENSBTAG00000018772,TAF1C,protein_coding
"Main effect, meta-analysis",18,10527395,10469759,10479608,ENSBTAG00000018772,TAF1C,protein_coding
COJO of main effect meta-analysis,18,10521343,10479601,10487540,ENSBTAG00000034283,ADAD2,protein_coding
"Main effect, DEBVs",18,10521343,10479601,10487540,ENSBTAG00000034283,ADAD2,protein_coding
"Main effect, DEBVs",18,10527395,10479601,10487540,ENSBTAG00000034283,ADAD2,protein_coding
"Main effect, meta-analysis",18,10521343,10479601,10487540,ENSBTAG00000034283,ADAD2,protein_coding
"Main effect, meta-analysis",18,10527395,10479601,10487540,ENSBTAG00000034283,ADAD2,protein_coding
COJO of main effect meta-analysis,18,10521343,10497903,10510536,ENSBTAG00000016695,KCNG4,protein_coding
"Main effect, DEBVs",18,10521343,10497903,10510536,ENSBTAG00000016695,KCNG4,protein_coding
"Main effect, DEBVs",18,10527395,10497903,10510536,ENSBTAG00000016695,KCNG4,protein_coding
"Main effect, DEBVs",18,10538495,10497903,10510536,ENSBTAG00000016695,KCNG4,protein_coding
"Main effect, DEBVs",18,10538777,10497903,10510536,ENSBTAG00000016695,KCNG4,protein_coding
"Main effect, DEBVs",18,10539117,10497903,10510536,ENSBTAG00000016695,KCNG4,protein_coding
"Main effect, meta-analysis",18,10521343,10497903,10510536,ENSBTAG00000016695,KCNG4,protein_coding
"Main effect, meta-analysis",18,10527395,10497903,10510536,ENSBTAG00000016695,KCNG4,protein_coding
"Main effect, meta-analysis",18,10538495,10497903,10510536,ENSBTAG00000016695,KCNG4,protein_coding
"Main effect, meta-analysis",18,10539117,10497903,10510536,ENSBTAG00000016695,KCNG4,protein_coding
COJO of main effect meta-analysis,18,10521343,10520491,10581675,ENSBTAG00000049788,WFDC1,protein_coding
"Main effect, DEBVs",18,10521343,10520491,10581675,ENSBTAG00000049788,WFDC1,protein_coding
"Main effect, DEBVs",18,10527395,10520491,10581675,ENSBTAG00000049788,WFDC1,protein_coding
"Main effect, DEBVs",18,10538495,10520491,10581675,ENSBTAG00000049788,WFDC1,protein_coding
"Main effect, DEBVs",18,10538777,10520491,10581675,ENSBTAG00000049788,WFDC1,protein_coding
"Main effect, DEBVs",18,10539117,10520491,10581675,ENSBTAG00000049788,WFDC1,protein_coding
"Main effect, meta-analysis",18,10521343,10520491,10581675,ENSBTAG00000049788,WFDC1,protein_coding
"Main effect, meta-analysis",18,10527395,10520491,10581675,ENSBTAG00000049788,WFDC1,protein_coding
"Main effect, meta-analysis",18,10538495,10520491,10581675,ENSBTAG00000049788,WFDC1,protein_coding
"Main effect, meta-analysis",18,10539117,10520491,10581675,ENSBTAG00000049788,WFDC1,protein_coding
"GxE meta-analysis, day length",18,13358972,13298147,13327247,ENSBTAG00000006731,SLC7A5,protein_coding
"GxE meta-analysis, day length",18,13358972,13345873,13368386,ENSBTAG00000010151,CA5A,protein_coding
"GxE meta-analysis, day length",18,13358972,13381283,13450245,ENSBTAG00000023745,BANP,protein_coding
"GxE meta-analysis, day length",18,34351829,34295106,34307715,ENSBTAG00000054627,,protein_coding
"GxE meta-analysis, day length",18,34351829,34308154,34330757,ENSBTAG00000032576,CMTM2,protein_coding
"GxE meta-analysis, day length",18,34351829,34347229,34357747,ENSBTAG00000054188,CMTM3,protein_coding
"GxE meta-analysis, day length",18,34351829,34357740,34436354,ENSBTAG00000001104,CMTM4,protein_coding
"GxE meta-analysis, day length",18,42295928,42290413,42290530,ENSBTAG00000044724,SNORA70,snoRNA
"GxE meta-analysis, day length",18,42295928,42319218,42319320,ENSBTAG00000044307,U6,snRNA
"GxE meta-analysis, day length",18,60817273,60759305,60768024,ENSBTAG00000002290,,protein_coding
"GxE meta-analysis, day length",18,60817273,60856348,60866029,ENSBTAG00000040392,MGC139164,protein_coding
"GxE meta-analysis, day length",19,5028098,5021192,5083084,ENSBTAG00000007013,TOM1L1,protein_coding
"GxE meta-analysis, day length",19,10362706,10299297,10362632,ENSBTAG00000019806,YPEL2,protein_coding
"GxE meta-analysis, day length",19,10362706,10388069,10396775,ENSBTAG00000049561,,lncRNA
"GxE meta-analysis, day length",19,10362706,10403579,10404250,ENSBTAG00000020774,,protein_coding
"GxE meta-analysis, day length",19,39053289,38989588,39004881,ENSBTAG00000001804,GPR179,protein_coding
"GxE meta-analysis, day length",19,39053289,39011186,39036089,ENSBTAG00000008535,SOCS7,protein_coding
"GxE meta-analysis, day length",19,39053289,39088363,39136166,ENSBTAG00000016911,ARHGAP23,protein_coding
"GxE meta-analysis, day length",19,39118355,39088363,39136166,ENSBTAG00000016911,ARHGAP23,protein_coding
"GxE meta-analysis, day length",19,39118355,39146536,39217469,ENSBTAG00000013469,SRCIN1,protein_coding
"GxE meta-analysis, day length",19,39118355,39156838,39161459,ENSBTAG00000053767,,protein_coding
"Main effect, meta-analysis",19,45660322,45605688,45624227,ENSBTAG00000006785,ARF2,protein_coding
"Main effect, DEBVs",19,48127953,48077622,48082227,ENSBTAG00000021061,PSMC5,protein_coding
"Main effect, DEBVs",19,48128930,48077622,48082227,ENSBTAG00000021061,PSMC5,protein_coding
"Main effect, DEBVs",19,48127953,48082267,48091889,ENSBTAG00000021062,SMARCD2,protein_coding
"Main effect, DEBVs",19,48128930,48082267,48091889,ENSBTAG00000021062,SMARCD2,protein_coding
"Main effect, DEBVs",19,48127953,48086371,48086469,ENSBTAG00000048610,bta-mir-10173,miRNA
"Main effect, DEBVs",19,48128930,48086371,48086469,ENSBTAG00000048610,bta-mir-10173,miRNA
"Main effect, DEBVs",19,48127953,48100055,48108406,ENSBTAG00000024947,TCAM1,protein_coding
"Main effect, DEBVs",19,48128930,48100055,48108406,ENSBTAG00000024947,TCAM1,protein_coding
"Main effect, DEBVs",19,48127953,48117957,48119752,ENSBTAG00000017220,GH1,protein_coding
"Main effect, DEBVs",19,48128930,48117957,48119752,ENSBTAG00000017220,GH1,protein_coding
"Main effect, DEBVs",19,48127953,48132030,48135645,ENSBTAG00000044204,CD79B,protein_coding
"Main effect, DEBVs",19,48128930,48132030,48135645,ENSBTAG00000044204,CD79B,protein_coding
"Main effect, DEBVs",19,48127953,48140003,48192876,ENSBTAG00000004770,SCN4A,protein_coding
"Main effect, DEBVs",19,48128930,48140003,48192876,ENSBTAG00000004770,SCN4A,protein_coding
COJO of main effect meta-analysis,19,48398531,48273414,48350809,ENSBTAG00000016799,ERN1,protein_coding
"Main effect, meta-analysis",19,48398531,48273414,48350809,ENSBTAG00000016799,ERN1,protein_coding
COJO of main effect meta-analysis,19,48398531,48366314,48366383,ENSBTAG00000042741,SNORD104,snoRNA
"Main effect, meta-analysis",19,48398531,48366314,48366383,ENSBTAG00000042741,SNORD104,snoRNA
COJO of main effect meta-analysis,19,48398531,48366575,48366709,ENSBTAG00000042398,,snoRNA
"Main effect, meta-analysis",19,48398531,48366575,48366709,ENSBTAG00000042398,,snoRNA
COJO of main effect meta-analysis,19,48398531,48366577,48366709,ENSBTAG00000052685,SNORA50C,snoRNA
"Main effect, meta-analysis",19,48398531,48366577,48366709,ENSBTAG00000052685,SNORA50C,snoRNA
COJO of main effect meta-analysis,19,48398531,48368410,48482779,ENSBTAG00000004723,TEX2,protein_coding
"Main effect, meta-analysis",19,48398531,48368410,48482779,ENSBTAG00000004723,TEX2,protein_coding
"Main effect, DEBVs",19,49048131,48997281,49127850,ENSBTAG00000014598,BPTF,protein_coding
"Main effect, DEBVs",19,49236253,49175977,49194768,ENSBTAG00000015951,NOL11,protein_coding
"Main effect, DEBVs",19,49236729,49175977,49194768,ENSBTAG00000015951,NOL11,protein_coding
"Main effect, DEBVs",19,49236253,49221296,49358241,ENSBTAG00000044065,,protein_coding
"Main effect, DEBVs",19,49236729,49221296,49358241,ENSBTAG00000044065,,protein_coding
"Main effect, DEBVs",19,49236253,49282797,49282907,ENSBTAG00000044269,U6,snRNA
"Main effect, DEBVs",19,49236729,49282797,49282907,ENSBTAG00000044269,U6,snRNA
"GxE meta-analysis, day length",19,56614939,56555365,56571477,ENSBTAG00000040042,GRIN2C,protein_coding
"GxE meta-analysis, day length",19,56614939,56577202,56647063,ENSBTAG00000011389,TMEM104,protein_coding
"GxE meta-analysis, day length",19,56614939,56648056,56652832,ENSBTAG00000053909,NAT9,protein_coding
"GxE meta-analysis, day length",19,56614939,56653907,56671068,ENSBTAG00000011382,SLC9A3R1,protein_coding
"GxE meta-analysis, day length",19,56614939,56659656,56659762,ENSBTAG00000051684,U6,snRNA
"GxE meta-analysis, day length",19,57960409,57874966,58018225,ENSBTAG00000044195,SDK2,protein_coding
"Main effect, DEBVs",19,58930026,58919579,58923174,ENSBTAG00000045824,SOX9,protein_coding
"Main effect, meta-analysis",19,58944262,58919579,58923174,ENSBTAG00000045824,SOX9,protein_coding
"Main effect, meta-analysis",19,58949027,58919579,58923174,ENSBTAG00000045824,SOX9,protein_coding
COJO of main effect meta-analysis,19,59091866,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59031592,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59042109,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59049072,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59058798,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59060008,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59062908,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59066604,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59069136,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59083455,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59084200,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59087943,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59091866,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, DEBVs",19,59120248,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59005190,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59009634,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59010199,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59011273,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59031592,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59042109,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59058798,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59062908,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59066604,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59069136,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59091866,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59103428,59035767,59071340,ENSBTAG00000051578,,lncRNA
"Main effect, meta-analysis",19,59112204,59035767,59071340,ENSBTAG00000051578,,lncRNA
